group,feature,ar1_r2
G1,feature_1,0.006840256692604352
G2,feature_1,0.10574950920087378
G3,feature_1,0.057183126443058674
G4,feature_1,0.012985814479167024
G5,feature_1,0.04562169882749123
G1,feature_2,0.6904546523325202
G2,feature_2,0.7094383734217309
G3,feature_2,0.6944271607175498
G4,feature_2,0.6670443212553965
G5,feature_2,0.6530212077797614
G1,feature_3,0.4118533414199126
G2,feature_3,0.3748948459457362
G3,feature_3,0.6029573932037522
G4,feature_3,0.4514364959951691
G5,feature_3,0.486507580783046
