group,feature,adf_stat,adf_p,kpss_stat,kpss_p
G1,feature_1,-6.981134509424322,8.186632622756822e-10,0.5761186331579694,0.024807396985639142
G2,feature_1,-5.2316289060880745,7.574752327058715e-06,0.943519412597424,0.01
G3,feature_1,-6.267127053064895,4.088098128326066e-08,0.5963406459750489,0.02296903218408646
G4,feature_1,-6.854608977617213,1.6607084634844248e-09,1.352824529306542,0.01
G5,feature_1,-6.455992170204794,1.4830137347797957e-08,0.07270177638205794,0.1
G1,feature_2,-7.623683401443809,2.0958635220340434e-11,0.059838586589708746,0.1
G2,feature_2,-6.67871590279087,4.397516922756067e-09,0.05237419354436346,0.1
G3,feature_2,-5.6195265240194825,1.1536274574092294e-06,0.06327539804990745,0.1
G4,feature_2,-1.5292792105042117,0.5189808334958017,0.0699081988918319,0.1
G5,feature_2,-1.7429003643877148,0.40915537593238255,0.043782648843590156,0.1
G1,feature_3,-1.2967425061870945,0.6306613001720843,0.19923929654576117,0.1
G2,feature_3,-2.9809052944480605,0.0367164939269117,0.2936544283191832,0.1
G3,feature_3,-2.6670687057503937,0.07991222161429196,0.18701817690095351,0.1
G4,feature_3,-3.1824826356188267,0.02102130887763285,0.16594730114927506,0.1
G5,feature_3,-2.670956415782666,0.0792003227371414,0.5082678154566443,0.03980454606832334
